id,key,value,type
39774420,layer,-2,regular
39774420,tunnel,yes,regular
39774420,en,Bund Sightseeing Tunnel,name
39774420,railway,light_rail,regular
39841369,highway,service,regular
39841369,name,顾家弄,regular
39841369,en,Gujia Lane,name
39841369,service,alley,regular
40033251,ref,X596,regular
40033251,name,华夏中路,regular
40033251,lanes,2,regular
40033251,oneway,yes,regular
40033251,highway,primary,regular
40033251,en,Middle Huaxia Road,name
40283569,oneway,no,regular
40283569,highway,tertiary,regular
40972019,lanes,2,regular
40972019,layer,2,regular
40972019,bridge,yes,regular
40972019,oneway,yes,regular
40972019,highway,trunk_link,regular
43012134,source,PGS,regular
43012134,natural,water,regular
43012134,waterway,riverbank,regular
43781367,amenity,parking,regular
44025781,foot,yes,regular
44025781,layer,1,regular
44025781,bridge,yes,regular
44025781,highway,footway,regular
44419492,name,新郁路,regular
44419492,highway,tertiary,regular
44419492,en,Xinyu Road,name
44419492,cycleway,lane,regular
44660561,highway,secondary,regular
44660561,name,三香路,regular
44660561,oneway,yes,regular
45105015,lanes,2,regular
45105015,bridge,no,regular
45105015,oneway,yes,regular
45105015,highway,primary_link,regular
46626024,building,yes,regular
47006468,name,龙州路,regular
47006468,highway,residential,regular
47006468,en,Longzhou Road,name
47006468,int_name,Longzhou Lu,regular
47046605,name,内环高架路,regular
47046605,layer,1,regular
47046605,oneway,yes,regular
47046605,highway,trunk_link,regular
47046605,en,Inner Ring Road,name
47171154,foot,yes,regular
47171154,layer,1,regular
47171154,bridge,yes,regular
47171154,highway,footway,regular
47277976,name,洲海路,regular
47277976,oneway,yes,regular
47277976,highway,secondary,regular
47277976,en,Zhouhai Road,name
47277976,cycleway,lane,regular
47322968,leisure,garden,regular
47344404,landuse,grass,regular
47438461,name,北苏州路,regular
47438461,lanes,2,regular
47438461,source,interpolation,regular
47438461,highway,residential,regular
47438461,en,Beisuzhou Road,name
48418337,name,双虹路,regular
48418337,lanes,2,regular
48418337,oneway,yes,regular
48418337,highway,secondary,regular
48654242,highway,service,regular
48720287,name,陈水关路,regular
48720287,highway,residential,regular
48720287,en,Chenshuiguan Road,name
48720287,zh,陈水关路,name
48720287,int_name,Chenshuiguan Lu,regular
48720287,zh-hant,陳水關路,name
48720287,zh_pinyin,Chénshuǐguān Lù,name
48872352,highway,service,regular
48872352,service,parking_aisle,regular
48965923,source,GPS,regular
48965923,highway,unclassified,regular
48974282,source,GPS,regular
48974282,highway,unclassified,regular
48997554,name,上海轨道交通1号线,regular
48997554,gauge,1435,regular
48997554,oneway,yes,regular
48997554,en,Shanghai Metro Line 1,name
48997554,railway,subway,regular
48997554,voltage,1500,regular
48997554,frequency,0,regular
48997554,electrified,contact_line,regular
49051153,highway,service,regular
49139479,name,杨高中路,regular
49139479,lanes,2,regular
